Customer_ID,Customer_Name,Gender,Date_of_Birth,Phone,Email,Address,City,State,Country
CUST000001,"Karan Verma",Female,1993-01-17,9890519265,karan_verma1@example.com,"891, Station Road",Jodhpur,Rajasthan,India
CUST000002,"Nikhil Yadav",FEMALE,1991-05-25,6432234154,nikhil_yadav2@example.com,"233, Nehru Nagar",Indore,"Madhya Pradesh",India
CUST000003,"Shreya Yadav",Unknown,1966-03-03,6169937219,shreya_yadav3@example.com,"195, Civil Lines",Surat,Gujarat,India
CUST000004,"Arjun Agarwal",FEMALE,1981-09-25,9439283609,arjun_agarwal4@example.com,"148, Nehru Nagar",Chandigarh,Chandigarh,India
CUST000005,"Nikhil Joshi",Unknown,1993-01-05,8999383381,nikhil_joshi5@example.com,"641, Nehru Nagar",Hyderabad,Telangana,India
CUST000006,"Anjali Rathore",Unknown,1977-12-27,9488234334,anjali_rathore6@example.com,"588, Main Market",Surat,Gujarat,India
CUST000007,"Rohit Choudhary",FEMALE,1959-08-16,7626808103,rohit_choudhary7@example.com,"650, Station Road",Hyderabad,Telangana,India
CUST000008,"Deepak Yadav",Female,1989-11-23,8272395440,deepak_yadav8@example.com,"46, Main Market",Pune,Maharashtra,India
CUST000009,"Pooja Jain",Other,1974-02-10,9069560854,pooja_jain9@example.com,"979, MG Road",Chandigarh,Chandigarh,India
CUST000010,"Meena Joshi",Male,1967-02-27,6701963529,meena_joshi10@example.com,"797, MG Road",surat,Gujarat,India
CUST000011,"Komal Tiwari",Other,1971-05-13,7226846521,komal_tiwari11@example.com,"253, Station Road",Mumbai,Maharashtra,India
CUST000012,"Komal Kumar",Female,1978-05-11,8608702439,komal_kumar12@example.com,"395, Civil Lines",Alwar,Rajasthan,India
CUST000013,"Sneha Kumar",Female,1969-02-09,6957795825,sneha_kumar13@example.com,"737, Main Market",Chandigarh,Unknown,India
CUST000014,"Karan Joshi",FEMALE,1967-05-23,9987414697,karan_joshi14@example.com,"706, Civil Lines",Bhopal,"Madhya Pradesh",India
CUST000015,"Simran Verma",Male,1980-10-03,9722592951,simran_verma15@example.com,"9, Nehru Nagar",Ahmedabad,Gujarat,India
CUST000016,"Meena Singh",male,2001-12-26,9562010959,meena_singh16@example.com,"379, Civil Lines",Chennai,"Tamil Nadu",India
CUST000017,"Shreya Joshi",Male,1957-08-28,6356947552,shreya_joshi17@example.com,"365, Park Street",Chandigarh,Chandigarh,India
CUST000018,"Vikas Saini",Unknown,1951-11-16,8638728447,vikas_saini18@example.com,"196, Station Road",Chandigarh,Chandigarh,India
CUST000019,"Vivek Yadav",Unknown,1979-10-23,7035316539,vivek_yadav19@example.com,"183, Nehru Nagar",Alwar,Rajasthan,India
